Migrationshintergrund in Wien gemeldeter Personen nach Geschlecht und Wiener Zaehlbezirk|Migration background of residents in Vienna by sex and Vienna subdistrict;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_ROU;POP_HUN;POP_SYR;POP_RUS;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;92200;92213;2;3248;86;73;54;57;32;28;24;3;15;345;2531;20080101
AT1;AT13;AT130;92200;92214;2;2348;20;20;34;19;13;7;11;0;5;123;2096;20080101
AT1;AT13;AT130;92200;92215;2;4665;143;172;93;83;37;37;36;4;19;397;3644;20080101
AT1;AT13;AT130;92200;92216;2;605;9;8;11;9;9;4;5;1;0;46;503;20080101
AT1;AT13;AT130;92200;92217;2;643;10;6;6;14;2;4;7;0;3;44;547;20080101
AT1;AT13;AT130;92200;92218;2;2617;56;47;27;56;27;13;17;2;7;219;2146;20080101
AT1;AT13;AT130;92200;92219;2;2644;148;98;40;64;43;40;21;3;10;310;1867;20080101
AT1;AT13;AT130;92200;92220;2;1410;42;50;30;15;12;12;3;3;0;176;1067;20080101
AT1;AT13;AT130;92200;92221;2;518;21;2;9;8;2;0;2;0;2;58;414;20080101
AT1;AT13;AT130;92200;92222;2;3503;50;23;67;212;28;35;10;7;37;373;2661;20080101
AT1;AT13;AT130;92200;92223;2;2193;61;19;44;36;18;12;25;1;17;248;1712;20080101
AT1;AT13;AT130;92200;92224;2;2560;28;7;40;103;27;14;20;0;18;234;2069;20080101
AT1;AT13;AT130;92200;92225;2;910;10;2;17;10;2;5;13;0;4;55;792;20080101
AT1;AT13;AT130;92200;92226;2;1843;33;1;54;26;4;9;16;2;5;159;1534;20080101
AT1;AT13;AT130;92200;92227;2;2865;37;8;58;40;13;13;17;1;20;237;2421;20080101
AT1;AT13;AT130;92200;92228;2;1628;44;12;34;39;11;7;14;2;9;166;1290;20080101
AT1;AT13;AT130;92200;92229;2;1758;45;26;36;19;11;10;15;1;12;183;1400;20080101
AT1;AT13;AT130;92200;92230;2;14;0;0;0;0;0;0;0;0;0;6;8;20080101
AT1;AT13;AT130;92200;92231;2;44;0;0;1;1;1;0;0;0;0;2;39;20080101
AT1;AT13;AT130;92200;92232;2;2117;54;30;34;123;80;27;12;9;54;497;1197;20080101
AT1;AT13;AT130;92200;92299;2;31;0;0;0;0;0;0;0;0;1;3;27;20080101
AT1;AT13;AT130;92300;92301;2;1026;33;13;25;15;25;12;6;0;3;99;795;20080101
AT1;AT13;AT130;92300;92302;2;2019;112;35;28;48;56;19;11;4;3;202;1501;20080101
